Stash list for short evaluation tests (18 months runs to compare different configurations),,,,,,,,,,,
,,,,,,,,,,,
SINGLE LEVEL VARIABLES ,ISEC,ITEM,STASH,TYPE,FREQUENCY,TIME PROFILE,DOM PROFILE,USE,PACKAGE,STREAM,FILE
1.5M TEMPERATURE OVER TILES,3,328,m01s03i328,instant.,3 hourly,T3HINST,DTILE,UPC,Land Diagnostics,pp2,am3a.pc%Y%m%d.nc
SURFACE SENSIBLE HEAT FLUX ON TILES,3,290,m01s03i290,mean,3 hourly,T3HMN,DTILE,UPC,Land Diagnostics,pp2,am3a.pc%Y%m%d.nc
SURFACE LATENT HEAT FLUX ON TILES,3,330,m01s03i330,mean,3 hourly,T3HMN,DTILE,UPC,Land Diagnostics,pp2,am3a.pc%Y%m%d.nc
SURFACE NET SW RADIATION ON TILES,3,382,m01s03i382,mean,3 hourly,T3HMN,DTILE,UPC,Land Diagnostics,pp2,am3a.pc%Y%m%d.nc
SURFACE UP LW RADIATION ON TILES,3,383,m01s03i383,mean,3 hourly,T3HMN,DTILE,UPC,Land Diagnostics,pp2,am3a.pc%Y%m%d.nc
SURFACE DOWN LW RADIATION ON TILES,3,384,m01s03i384,mean,3 hourly,T3HMN,DTILE,UPC,Land Diagnostics,pp2,am3a.pc%Y%m%d.nc
SOIL MOISTURE CONTENT IN A LAYER,8,223,m01s08i223,instant.,3 hourly,T3HINST,DSOIL,UPC,Land Diagnostics,pp2,am3a.pc%Y%m%d.nc
DEEP SOIL TEMP. AFTER HYDROLOGY DEGK,8,225,m01s08i225,instant.,3 hourly,T3HINST,DSOIL,UPC,Land Diagnostics,pp2,am3a.pc%Y%m%d.nc
CANOPY WATER ON TILES KG/M2,3,321,m01s03i321,instant.,3 hourly,T3HINST,DTILE,UPC,Land Diagnostics,pp2,am3a.pc%Y%m%d.nc
ROUGHNESS LENGTH ON TILES M,3,324,m01s03i324,instant.,3 hourly,T3HINST,DTILE,UPC,Land Diagnostics,pp2,am3a.pc%Y%m%d.nc
,,,,,,,,,,,
3D VARIABLES ,ISEC,ITEM,STASH,TYPE,FREQUENCY,TIME PROFILE,DOM PROFILE,USE,PACKAGE,,
U COMPNT OF WIND ON P LEV/UV GRID,30,201,m01s30i201,Instant.,6 hourly,T6HINST,DP34,UPF,3D ERA5 Diagnostics,pp5,am3a.pf%Y%m%d.nc
V COMPNT OF WIND ON P LEV/UV GRID,30,202,m01s30i202,Instant.,6 hourly,T6HINST,DP34,UPF,3D ERA5 Diagnostics,pp5,am3a.pf%Y%m%d.nc
W COMPNT OF WIND ON P LEV/UV GRID,30,203,m01s30i203,Instant.,6 hourly,T6HINST,DP34,UPF,3D ERA5 Diagnostics,pp5,am3a.pf%Y%m%d.nc
TEMPERATURE ON P LEV/UV GRID,30,204,m01s30i204,Instant.,6 hourly,T6HINST,DP34,UPF,3D ERA5 Diagnostics,pp5,am3a.pf%Y%m%d.nc
SPECIFIC HUMIDITY ON P LEV/UV GRID,30,205,m01s30i205,Instant.,6 hourly,T6HINST,DP34,UPF,3D ERA5 Diagnostics,pp5,am3a.pf%Y%m%d.nc
RELATIVE HUMIDITY ON P LEV/UV GRID,30,206,m01s30i206,Instant.,6 hourly,T6HINST,DP34,UPF,3D ERA5 Diagnostics,pp5,am3a.pf%Y%m%d.nc
GEOPOTENTIAL HEIGHT ON P LEV/UV GRID,30,207,m01s30i207,Instant.,6 hourly,T6HINST,DP34,UPF,3D ERA5 Diagnostics,pp5,am3a.pf%Y%m%d.nc
